Center Name,Location (District),WhatsApp/Mobile,Source URL
German Language Center,Rajshahi,+8801758033318,https://www.google.com/maps/place/German+Language+Center/data=!4m7!3m6!1s0x39fbefdb2ae7e2dd:0x3ba4b7408d70a9fe!8m2!3d24.3604789!4d88.6242131!16s%2Fg%2F11gkygygyv!19sChIJ3eLnKtvv-zkR_qlwjUC3pDs?authuser=0&hl=en&rclk=1
Rajshahi Japanese Language Center(RJLC),Rajshahi,+8801332755360,https://www.facebook.com/108771701265895/
STRIVE ENGLISH LANGUAGE CENTRE,Rajshahi,+8801939229747,https://www.facebook.com/people/Strive-ELC-English-Language-Centre/100085690800654/
রাজশাহী কোরিয়ান জাপানিজ ল্যাংগুয়েজে সেন্টার,Rajshahi,+8801794895425,http://www.facebook.com/rkjlc
Sunshine Education,Rajshahi,+8801890411154,https://www.facebook.com/people/Sunshine-Education/100057185630426/
Japani Language Dormitory,Rajshahi,,https://www.google.com/maps/place/Japani+Language+Dormitory/data=!4m7!3m6!1s0x39fbef0059136063:0xe22e098a0b0a2320!8m2!3d24.3991528!4d88.5933131!16s%2Fg%2F11w8ymb5rp!19sChIJY2ATWQDv-zkRICMKC4oJLuI?authuser=0&hl=en&rclk=1
"Master Sumon Japanese Language, Rajshahi",Rajshahi,+8801715918081,https://www.facebook.com/profile.php/?id=61563034660447
Glory language Center,Rajshahi,+8801771779545,https://www.facebook.com/glorylanguagecentre
Pinnacle English Language Centre (PELC),Rajshahi,+8801712807207,https://www.facebook.com/pinnaclerajshahi/about/
Hasan Plus English,Rajshahi,+8801316339619,https://www.facebook.com/hasanplusenglishrajshahi/
Fine Arts English language Club,Rajshahi,,https://www.facebook.com/fineartsenglishclub/groups/
American Corner Rajshahi,Rajshahi,+8801730406571,https://www.facebook.com/AmericanCornerRaj/
DELTA,Rajshahi,+8801778405030,http://www.facebook.com/DELTA.ELT
জ্ঞান পয়েন্ট ইংরেজি একাডেমী,Rajshahi,,https://www.google.com/maps/place/%E0%A6%9C%E0%A7%8D%E0%A6%9E%E0%A6%BE%E0%A6%A8+%E0%A6%AA%E0%A6%AF%E0%A6%BC%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%9F+%E0%A6%87%E0%A6%82%E0%A6%B0%E0%A7%87%E0%A6%9C%E0%A6%BF+%E0%A6%8F%E0%A6%95%E0%A6%BE%E0%A6%A1%E0%A7%87%E0%A6%AE%E0%A7%80/data=!4m7!3m6!1s0x39fbee5426d069dd:0x7c7139e8d09fbdec!8m2!3d24.3809912!4d88.5983904!16s%2Fg%2F11bc8bk6qp!19sChIJ3WnQJlTu-zkR7L2f0Og5cXw?authuser=0&hl=en&rclk=1
TTC Rajshahi,Rajshahi,+8801977796820,https://rttc.rajshahi.gov.bd/en
Arefin Hasan,Rajshahi,+8801718666402,http://www.facebook.com/arefinhasanofficial
International Language and Technical Training Centre,Rajshahi,+8801403134343,https://www.google.com/maps/place/International+Language+and+Technical+Training+Centre/data=!4m7!3m6!1s0x39fbf16c3ffc70c5:0xdfda05d9f66237a6!8m2!3d24.3623768!4d88.6384954!16s%2Fg%2F11txqn8fjx!19sChIJxXD8P2zx-zkRpjdi9tkF2t8?authuser=0&hl=en&rclk=1
Fiverr Outsourcing Institute in Rajshahi,Rajshahi,+8801864238145,https://www.facebook.com/Fiverroutsourcinginstituteinrajshahi/
রাজশাহী মহিলা টেকনিকাল ট্রেনিং সেন্টার,Rajshahi,0247860880,http://www.rmttc.gov.bd/
Yeasir Nowshad,Rajshahi,+8801712670474,https://m.facebook.com/yeasir.nowshad
21 language and It Institute rajshahi Branch,Rajshahi,+8801711004605,https://www.facebook.com/ProfMEALord/
"Mainz Islamic International School , Rajshahi",Rajshahi,+8801797821926,https://www.facebook.com/mctschool/
Bangladesh Education Article,Rajshahi,,https://www.bdeduarticle.com/
bcspedia,Rajshahi,,https://www.google.com/maps/place/bcspedia/data=!4m7!3m6!1s0x39fbef411e8487df:0xbf88d399341ca99f!8m2!3d24.3596151!4d88.6215154!16s%2Fg%2F11jz0v6dp0!19sChIJ34eEHkHv-zkRn6kcNJnTiL8?authuser=0&hl=en&rclk=1
English Point,Rajshahi,+8801789658805,http://facebook.com/englishpoint.rajshahi
BLC Bogura (IELTS & Duolingo English Test),Bogura,+8801862299660,https://www.facebook.com/A2ZFL/
"MIE English Academy, Bogura",Bogura,+8801329668459,https://www.facebook.com/mieenglishacademy/
EduMigration,Bogura,+8801755040404,https://www.facebook.com/edumigrationbd/about/
NION GLOBAL,Bogura,+8801711831730,https://www.facebook.com/nionglobalbd/
সাইফুর'স প্রাঃ লিঃ,Bogura,+8801613432038,http://www.saifursbooks.com/
Minna no Japanese and Korean language Center,Bogura,+8801764553871,https://www.facebook.com/profile.php/?id=100086681734049
Sunshine Japanese Language School,Bogura,+8801798810754,https://www.facebook.com/a.light.of.education/reels/
Center For English Language Learning,Bogura,+8801674086860,https://www.facebook.com/p/Center-For-English-Language-Learning-100063732943682/
Bogura Korean Language Training Center,Bogura,+8801911112981,https://www.facebook.com/Bogra-Korean-Language-Training-Center-BKLTC-890800827705516/
#KoreanLanguage কোরিয়ান ল্যাংগুয়েজ সেন্টার- বগুড়া।,Bogura,+8801948652556,https://www.koreavsbanglatv.com/
Amirul English Care,Rajshahi,+8801790084337,https://www.google.com/maps/place/Amirul+English+Care/data=!4m7!3m6!1s0x39fbefa855ddd3d5:0xe4d9a5b4917fb91!8m2!3d24.3659704!4d88.5975054!16s%2Fg%2F11f8hqyrs4!19sChIJ1dPdVajv-zkRkfsXSVuaTQ4?authuser=0&hl=en&rclk=1
Nayeem English,Rajshahi,+8801774498512,https://www.facebook.com/nayeemenglishofficial/
Hamja English Academy,Rajshahi,+8801722212103,http://facebook.com/hamjaenglishacademy
Amin English Academy,Rajshahi,+8801744747591,https://www.facebook.com/61575266786463/
Tellmo Academic Care,Rajshahi,+8801701055872,https://www.instagram.com/tellmo/
Moni English,Rajshahi,+8801733845685,https://www.google.com/maps/place/Moni+English/data=!4m7!3m6!1s0x39fbee548e7a0397:0x2e788bc8dbd7b16f!8m2!3d24.3776142!4d88.5991051!16s%2Fg%2F11g1q0w027!19sChIJlwN6jlTu-zkRb7HX28iLeC4?authuser=0&hl=en&rclk=1
S@lman English Academy,Rajshahi,+8801757012914,https://www.google.com/maps/place/S@lman+English+Academy/data=!4m7!3m6!1s0x39fbef85860e9419:0x850ec67090f9e353!8m2!3d24.3673446!4d88.5947072!16s%2Fg%2F11k549z348!19sChIJGZQOhoXv-zkRU-P5kHDGDoU?authuser=0&hl=en&rclk=1
Popy English Academy,Rajshahi,+8801733202393,https://www.google.com/maps/place/Popy+English+Academy/data=!4m7!3m6!1s0x39fbef0f08db41e1:0x3a041f0e1ca16eaf!8m2!3d24.363745!4d88.6324026!16s%2Fg%2F11j0brhgf6!19sChIJ4UHbCA_v-zkRr26hHA4fBDo?authuser=0&hl=en&rclk=1
Yousuf's English Academy,Rajshahi,+8801722294755,https://www.facebook.com/smyousuf.ielts/
"Institute of Business Administration (IBA),RU",Rajshahi,0721751508,https://www.facebook.com/IBA.RajshahiUniversity/
Deep Learning Method-DLM,Rajshahi,+8801794007944,https://www.facebook.com/100522741500438/
English Learning Home,Rajshahi,+8801711004605,https://www.instagram.com/ielts_club_rajshahi/
Rabby English Academic & Admission Care,Rajshahi,+8801716819561,https://www.google.com/maps/place/Rabby+English+Academic+%26+Admission+Care/data=!4m7!3m6!1s0x39fbefab602f0623:0xf054ac173ed33173!8m2!3d24.3735859!4d88.5999655!16s%2Fg%2F11gl0y5vb9!19sChIJIwYvYKvv-zkRczHTPhesVPA?authuser=0&hl=en&rclk=1
English And Math Private Home,Rajshahi,+8801723780870,https://www.google.com/maps/place/English+And+Math+Private+Home/data=!4m7!3m6!1s0x39fbef00fd689e95:0x8e1de868a97a5c71!8m2!3d24.3715938!4d88.5928022!16s%2Fg%2F11f7b4b57y!19sChIJlZ5o_QDv-zkRcVx6qWjoHY4?authuser=0&hl=en&rclk=1
English Academy -Badsha sir,Rajshahi,+8801714837388,https://www.facebook.com/people/English-Academy-of-Badsha-sir/100064305243849/
Shaif's English,Rajshahi,+8801784832301,https://www.google.com/maps/place/Shaif%27s+English/data=!4m7!3m6!1s0x39fbefa9c0c02fef:0x2b97325ff311365b!8m2!3d24.3675093!4d88.5962994!16s%2Fg%2F11gl0zx39z!19sChIJ7y_AwKnv-zkRWzYR818ylys?authuser=0&hl=en&rclk=1
Dainik Barta Complex,Rajshahi,+8801771770736,https://www.google.com/maps/place/Dainik+Barta+Complex/data=!4m7!3m6!1s0x39fbefa5534ab557:0x77d2fff44f051ccc!8m2!3d24.363137!4d88.6047646!16s%2Fg%2F11c6v78vvm!19sChIJV7VKU6Xv-zkRzBwFT_T_0nc?authuser=0&hl=en&rclk=1
Bangla Bornomala,Rajshahi,+8801716091919,https://www.google.com/maps/place/Bangla+Bornomala/data=!4m7!3m6!1s0x39fbefa9be9433b3:0x24e4066a3c5b4528!8m2!3d24.369846!4d88.5995402!16s%2Fg%2F11g2wnv8cs!19sChIJszOUvqnv-zkRKEVbPGoG5CQ?authuser=0&hl=en&rclk=1
Nahid24,Rajshahi,+8801787943429,https://nahid24.com/
University of Rajshahi,Rajshahi,,http://www.ru.ac.bd/
ABC SCHOOL,Rajshahi,+8801312777660,https://www.facebook.com/profile.php/?id=100057433660100
Job English in Rajshahi,Rajshahi,+8801711004605,https://www.google.com/maps/place/Job+English+in+Rajshahi/data=!4m7!3m6!1s0x47b12d9ea5d0355f:0x33f9bb20c1f6862e!8m2!3d23.506657!4d90.3443647!16s%2Fg%2F11w_njgq79!19sChIJXzXQpZ4tsUcRLob2wSC7-TM?authuser=0&hl=en&rclk=1
MIE English Academy Rajshahi,Rajshahi,+8801332505927,https://www.facebook.com/mieenglishacademy/
CAREEN INTERNATIONAL ACADEMY,Bogura,+8801726496745,https://www.facebook.com/p/Careen-Bogura-100063490658482/
English Topper,Bogura,+8801308528253,http://englishtopper.com/
স্পীকারর্স' ক্লাব,Bogura,+8801725346754,https://www.facebook.com/SpeakersClubBD
Hamlet,Bogura,+8801753770384,https://www.facebook.com/hamletgrammarschool/about/
Momentous Education,Khulna,+8801714074602,https://www.facebook.com/momentouseducation
Private Tutor,Khulna,+8801711893373,http://englishroots1.blogspot.com/
InterAiD,Khulna,+8801711965622,https://www.facebook.com/interaidbd/
Aussie Academy,Khulna,+8801909460691,https://www.facebook.com/AussieAcademyBangladesh/
SBL IT & IELTS Institute,Khulna,+8801771662888,http://www.sblitandieltsinstitute.com/
Adam's Academia,Khulna,+8801712091516,https://www.facebook.com/AdamsAcademia/
Visa Express,Khulna,+8801718502964,https://www.facebook.com/visaaexpress/
"Technical Training Centre (TTC), Bogura",Bogura,+8801718084450,"https://www.google.com/maps/place/Technical+Training+Centre+%28TTC%29,+Bogura/data=!4m7!3m6!1s0x39fc54534c39bcfb:0x52f350825d00eee!8m2!3d24.8550294!4d89.356651!16s%2Fg%2F1tddqlzk!19sChIJ-7w5TFNU_DkR7g7QJQg1LwU?authuser=0&hl=en&rclk=1"
Modern Coaching,Khulna,+8801715895542,https://www.google.com/maps/place/Modern+Coaching/data=!4m7!3m6!1s0x39ff9a5cbcbb8267:0xc4958a6e5afe2e5d!8m2!3d22.8682577!4d89.5268144!16s%2Fg%2F11g1v803p2!19sChIJZ4K7vFya_zkRXS7-Wm6KlcQ?authuser=0&hl=en&rclk=1
Honours Coaching Centre,Khulna,+8801912689027,https://www.google.com/maps/place/Honours+Coaching+Centre/data=!4m7!3m6!1s0x39ff901dcfb4cb19:0x23643562044213f5!8m2!3d22.8123764!4d89.5632357!16s%2Fg%2F11f7mvg4ll!19sChIJGcu0zx2Q_zkR9RNCBGI1ZCM?authuser=0&hl=en&rclk=1
Luminedge Khulna,Khulna,+8801400406386,https://www.google.com/maps/place/Luminedge+Khulna/data=!4m7!3m6!1s0x39ff91002bb0a717:0x506ef4d212bff81f!8m2!3d22.8112638!4d89.5572753!16s%2Fg%2F11vxybhn6z!19sChIJF6ewKwCR_zkRH_i_EtL0blA?authuser=0&hl=en&rclk=1
English Leaders - IELTS & Spoken,Khulna,+8801343951246,https://www.google.com/maps/place/English+Leaders+-+IELTS+%26+Spoken/data=!4m7!3m6!1s0x6743b421dfefa737:0x6d6b2548cbf35313!8m2!3d22.8120894!4d89.5621792!16s%2Fg%2F11xrt10ydy!19sChIJN6fv3yG0Q2cRE1Pzy0gla20?authuser=0&hl=en&rclk=1
"Board of Intermediate & Secondary Education, Rajshahi",Rajshahi,,"https://www.google.com/maps/place/Board+of+Intermediate+%26+Secondary+Education,+Rajshahi/data=!4m7!3m6!1s0x39fbef1d99000001:0x4f1fa4e539841b17!8m2!3d24.3734522!4d88.5829635!16s%2Fm%2F0105l2sc!19sChIJAQAAmR3v-zkRFxuEOeWkH08?authuser=0&hl=en&rclk=1"
S@ifur's Private Limited,Khulna,+8801954342489,https://www.google.com/maps/place/S@ifur%27s+Private+Limited/data=!4m7!3m6!1s0x39ff901e7bb47cdb:0xa38bf384c38fec02!8m2!3d22.8124911!4d89.5648652!16s%2Fg%2F11c7t6_zkn!19sChIJ23y0ex6Q_zkRAuyPw4Tzi6M?authuser=0&hl=en&rclk=1
Impel Overseas Education,Khulna,+8801711388704,https://www.google.com/maps/place/Impel+Overseas+Education/data=!4m7!3m6!1s0x39ff9003afef2fa3:0xcf6ab5473d38da9d!8m2!3d22.8137128!4d89.5562696!16s%2Fg%2F11b60qsl93!19sChIJoy_vrwOQ_zkRndo4PUe1as8?authuser=0&hl=en&rclk=1
SA LANGUAGE CENTER,Khulna,+8801942472667,https://www.google.com/maps/place/SA+LANGUAGE+CENTER/data=!4m7!3m6!1s0x39ff8f75a60759a5:0x1bb6cec3b37fe450!8m2!3d22.8066851!4d89.5676001!16s%2Fg%2F11zjgrhf0g!19sChIJpVkHpnWP_zkRUOR_s8POths?authuser=0&hl=en&rclk=1
"Modern Language Centre, KU",Khulna,+8801727656277,"https://www.google.com/maps/place/Modern+Language+Centre,+KU/data=!4m7!3m6!1s0x39ff85ef07d878f7:0x67e685ef6409f197!8m2!3d22.8009479!4d89.533187!16s%2Fg%2F11ss58q1b7!19sChIJ93jYB--F_zkRl_EJZO-F5mc?authuser=0&hl=en&rclk=1"
"Foreign Language Training Centre, Govt. B. L. College, Khulna",Khulna,0412852858,"https://www.google.com/maps/place/Foreign+Language+Training+Centre,+Govt.+B.+L.+College,+Khulna/data=!4m7!3m6!1s0x39ff9a5d750ca227:0xce5eb2631eaa8049!8m2!3d22.8665617!4d89.5298383!16s%2Fg%2F11ckqr9d59!19sChIJJ6IMdV2a_zkRSYCqHmOyXs4?authuser=0&hl=en&rclk=1"
Active korean Language Traning Center,Khulna,+8801712887440,https://www.google.com/maps/place/Active+korean+Language+Traning+Center/data=!4m7!3m6!1s0x39ff91243c42c377:0x2bed82d59cd44ae!8m2!3d22.8208519!4d89.5594411!16s%2Fg%2F11rxm847ll!19sChIJd8NCPCSR_zkRrkTNWS3YvgI?authuser=0&hl=en&rclk=1
খুলনা বিশ্ববিদ্যালয় মর্ডান ল্যাগুয়েজ সেন্টার,Khulna,041813513,https://www.google.com/maps/place/%E0%A6%96%E0%A7%81%E0%A6%B2%E0%A6%A8%E0%A6%BE+%E0%A6%AC%E0%A6%BF%E0%A6%B6%E0%A7%8D%E0%A6%AC%E0%A6%AC%E0%A6%BF%E0%A6%A6%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B2%E0%A7%9F+%E0%A6%AE%E0%A6%B0%E0%A7%8D%E0%A6%A1%E0%A6%BE%E0%A6%A8+%E0%A6%B2%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%97%E0%A7%81%E0%A7%9F%E0%A7%87%E0%A6%9C+%E0%A6%B8%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%9F%E0%A6%BE%E0%A6%B0/data=!4m7!3m6!1s0x39ff9bfbbf98eaff:0xc081a742fe484cd6!8m2!3d22.8009411!4d89.5325322!16s%2Fg%2F11hzlz6pxq!19sChIJ_-qYv_ub_zkR1kxI_kKngcA?authuser=0&hl=en&rclk=1
JBH Japanese Language School & Visa Consultancy,Khulna,+8801310703888,https://www.google.com/maps/place/JBH+Japanese+Language+School+%26+Visa+Consultancy/data=!4m7!3m6!1s0x39ff9b0041e7fcaf:0xeb345f23a9275fcc!8m2!3d22.843396!4d89.5313269!16s%2Fg%2F11w8nghs7f!19sChIJr_znQQCb_zkRzF8nqSNfNOs?authuser=0&hl=en&rclk=1
Parosh Nihongo Academy,Khulna,+8801920253556,https://www.google.com/maps/place/Parosh+Nihongo+Academy/data=!4m7!3m6!1s0x39ff9b1dd1fb5445:0xae1b704f6a63a4bd!8m2!3d22.8686304!4d89.5265758!16s%2Fg%2F11njtf93cx!19sChIJRVT70R2b_zkRvaRjak9wG64?authuser=0&hl=en&rclk=1
KLTC & JLTC,Khulna,+8801744245075,https://www.google.com/maps/place/KLTC+%26+JLTC/data=!4m7!3m6!1s0x39ff9b140f081927:0x502de701b4d38e17!8m2!3d22.8632668!4d89.5309101!16s%2Fg%2F11sc0ckfw7!19sChIJJxkIDxSb_zkRF47TtAHnLVA?authuser=0&hl=en&rclk=1
"Technical Training Centre (TTC), Khulna",Khulna,+8801712585355,"https://www.google.com/maps/place/Technical+Training+Centre+%28TTC%29,+Khulna/data=!4m7!3m6!1s0x39ff9bdc6ab7d1e1:0x9d150474013cd7f1!8m2!3d22.8973577!4d89.4966912!16s%2Fg%2F1hjgvftlj!19sChIJ4dG3atyb_zkR8dc8AXQEFZ0?authuser=0&hl=en&rclk=1"
German Planet,Khulna,+8801966990940,https://www.google.com/maps/place/German+Planet/data=!4m7!3m6!1s0x39ff8f94843234a3:0x5e28e6b45a782fcd!8m2!3d22.8073232!4d89.5663238!16s%2Fg%2F11z7cm31cs!19sChIJozQyhJSP_zkRzS94WrTmKF4?authuser=0&hl=en&rclk=1
German with Nilufa,Khulna,+8801838761992,https://www.google.com/maps/place/German+with+Nilufa/data=!4m7!3m6!1s0x39ff9b35b7021139:0x80ae64e0cd4b6e85!8m2!3d22.8438217!4d89.5405854!16s%2Fg%2F11sjwbrxy8!19sChIJORECtzWb_zkRhW5LzeBkroA?authuser=0&hl=en&rclk=1
American Corner Khulna,Khulna,0244110882,https://www.google.com/maps/place/American+Corner+Khulna/data=!4m7!3m6!1s0x39ff91eed3642379:0x49c2b3d9e7841d07!8m2!3d22.8221723!4d89.5521576!16s%2Fg%2F11q34jglkl!19sChIJeSNk0-6R_zkRBx2E59mzwkk?authuser=0&hl=en&rclk=1
Kopotakko Korean Vasha Sikkha Kandro,Khulna,+8801927036684,https://www.google.com/maps/place/Kopotakko+Korean+Vasha+Sikkha+Kandro/data=!4m7!3m6!1s0x39ff9a5c96127419:0x1c6c5f5b5d9bd9f0!8m2!3d22.8678675!4d89.5270179!16s%2Fg%2F11f7k8jkk9!19sChIJGXQSllya_zkR8NmbXVtfbBw?authuser=0&hl=en&rclk=1
Aricho (PVT.) Limited,Khulna,+8801914201270,https://www.google.com/maps/place/Aricho+%28PVT.%29+Limited/data=!4m7!3m6!1s0x39ff901fdff7bad9:0x477e22eb6d703e6e!8m2!3d22.8134283!4d89.5571502!16s%2Fg%2F11xsqmcll!19sChIJ2br33x-Q_zkRbj5wbesifkc?authuser=0&hl=en&rclk=1
German Academy,Khulna,+8801776565306,https://www.google.com/maps/place/German+Academy/data=!4m7!3m6!1s0x39ff9aa9a69da799:0x43d733ace4568253!8m2!3d22.817861!4d89.547693!16s%2Fg%2F11xbbws0z!19sChIJmaedpqma_zkRU4JW5Kwz10M?authuser=0&hl=en&rclk=1
English Tutorial Home,Khulna,,https://www.google.com/maps/place/English+Tutorial+Home/data=!4m7!3m6!1s0x39ff9b1d82477b0b:0x8d1bab78742cbba8!8m2!3d22.8670792!4d89.5279299!16s%2Fg%2F11f7nlg48t!19sChIJC3tHgh2b_zkRqLssdHirG40?authuser=0&hl=en&rclk=1
Mizan's Care,Barishal,+8801329632210,https://www.google.com/maps/place/Mizan%27s+Care/data=!4m7!3m6!1s0x375535f4d77d594f:0xf51641c3419ae0c0!8m2!3d22.7104036!4d90.3623309!16s%2Fg%2F11mhpq9gk_!19sChIJT1l91_Q1VTcRwOCaQcNBFvU?authuser=0&hl=en&rclk=1
English Aid,Barishal,+8801793029496,https://www.google.com/maps/place/English+Aid/data=!4m7!3m6!1s0x3755356bd715c6c9:0x3721ca21c67b1013!8m2!3d22.7062888!4d90.3617639!16s%2Fg%2F11s1sq6gvj!19sChIJycYV12s1VTcRExB7xiHKITc?authuser=0&hl=en&rclk=1
GCEI Language Centre,Barishal,+8801886849582,https://www.google.com/maps/place/GCEI+Language+Centre/data=!4m7!3m6!1s0x3755359f3143c3cf:0x3cd618f9e67f8597!8m2!3d22.6988955!4d90.3540047!16s%2Fg%2F11kj421n0t!19sChIJz8NDMZ81VTcRl4V_5vkY1jw?authuser=0&hl=en&rclk=1
Backbone English Learning Coaching Centre,Barishal,+8801739518200,https://www.google.com/maps/place/Backbone+English+Learning+Coaching+Centre/data=!4m7!3m6!1s0x375534206721ce4d:0xc23b3aa8e96be1a3!8m2!3d22.7135584!4d90.3540073!16s%2Fg%2F11gbxbl7yy!19sChIJTc4hZyA0VTcRo-Fr6ag6O8I?authuser=0&hl=en&rclk=1
আইটিংলিশ ও ক্যারিয়ার COUNCiL.,Barishal,+8801712220246,https://www.google.com/maps/place/%E0%A6%86%E0%A6%87%E0%A6%9F%E0%A6%BF%E0%A6%82%E0%A6%B2%E0%A6%BF%E0%A6%B6+%E0%A6%93+%E0%A6%95%E0%A7%8D%E0%A6%AF%E0%A6%BE%E0%A6%B0%E0%A6%BF%E0%A7%9F%E0%A6%BE%E0%A6%B0+COUNCiL./data=!4m7!3m6!1s0x37553420443a812d:0xcf76130e934880eb!8m2!3d22.7132189!4d90.3543902!16s%2Fg%2F11c5s7ht5h!19sChIJLYE6RCA0VTcR64BIkw4Tds8?authuser=0&hl=en&rclk=1
Primate Barishal - Best Academic and Admission Coaching Center in Barisal.,Barishal,+8801706911084,https://www.google.com/maps/place/Primate+Barishal+-+Best+Academic+and+Admission+Coaching+Center+in+Barisal./data=!4m7!3m6!1s0x3755356515b35ad9:0xe26672c027f9a1b4!8m2!3d22.7041983!4d90.3668812!16s%2Fg%2F11q93kh_66!19sChIJ2VqzFWU1VTcRtKH5J8ByZuI?authuser=0&hl=en&rclk=1
Study Abroad Centre (SAC),Barishal,+8801734028879,https://www.google.com/maps/place/Study+Abroad+Centre+%28SAC%29/data=!4m7!3m6!1s0x3755350407578153:0x1bb0158144a2eb32!8m2!3d22.6932535!4d90.354499!16s%2Fg%2F11pwxyvryx!19sChIJU4FXBwQ1VTcRMuuiRIEVsBs?authuser=0&hl=en&rclk=1
Progga Language Academy Barisal,Barishal,+8801715597171,https://www.google.com/maps/place/Progga+Language+Academy+Barisal/data=!4m7!3m6!1s0x37553516dc1d98a5:0x3f7b0e3736a7a85c!8m2!3d22.7119014!4d90.359981!16s%2Fg%2F11l6t00k8p!19sChIJpZgd3BY1VTcRXKinNjcOez8?authuser=0&hl=en&rclk=1
